date,value
2016-12-01,
2017-01-01,40
2017-02-01,144
2017-03-01,4767
2017-04-01,442
2017-05-01,335
2017-06-01,260
2017-07-01,267
2017-08-01,214
2017-09-01,233
2017-10-01,225
2017-11-01,237
2017-12-01,222
2018-01-01,307
2018-02-01,203
2018-03-01,199
2018-04-01,111
2018-05-01,112
2018-06-01,85
2018-07-01,104
2018-08-01,46
2018-09-01,68
2018-10-01,68
2018-11-01,72
2018-12-01,81
2019-01-01,45
2019-02-01,38
2019-03-01,26
2019-04-01,56
2019-05-01,15
2019-06-01,17
2019-07-01,17
2019-08-01,18
2019-09-01,17
2019-10-01,13
2019-11-01,16
2019-12-01,36
2020-01-01,17
2020-02-01,8
2020-03-01,9
2020-04-01,4
2020-05-01,6
2020-06-01,9
2020-07-01,8
2020-08-01,2
2020-09-01,11
2020-10-01,8
2020-11-01,13
2020-12-01,34
2021-01-01,9
2021-02-01,13
2021-03-01,4
2021-04-01,4

