date,type,value
2021-03-01,pv,8505
2021-02-01,pv,7212
2021-01-01,pv,11199
2020-12-01,pv,6324
2020-11-01,pv,8049
2020-10-01,pv,17580
2020-09-01,pv,8178
2020-08-01,pv,8106
2020-07-01,pv,7644
2020-06-01,pv,8427
2020-05-01,pv,10269
2020-04-01,pv,10932
2020-03-01,pv,10758
2020-02-01,pv,8349
2020-01-01,pv,10782
2019-12-01,pv,6474
2019-11-01,pv,8769
2019-10-01,pv,7386
2019-09-01,pv,7008
2019-08-01,pv,7725
2019-07-01,pv,8169
2019-06-01,pv,7938
2019-05-01,pv,17007
2019-04-01,pv,8115
2019-03-01,pv,8151
2019-02-01,pv,6231
2019-01-01,pv,13038
2018-12-01,pv,8868
2018-11-01,pv,12686
2018-10-01,pv,11971
2018-09-01,pv,9609
2018-08-01,pv,10214
2018-07-01,pv,10141
2018-06-01,pv,10350
2018-05-01,pv,10436
2018-04-01,pv,9282
2018-03-01,pv,10548
2018-02-01,pv,9596
2018-01-01,pv,10700
2017-12-01,pv,7553
2017-11-01,pv,10607
2017-10-01,pv,10378
2017-09-01,pv,13183
2017-08-01,pv,9610
2017-07-01,pv,9268
2017-06-01,pv,9667
2017-05-01,pv,10525
2017-04-01,pv,10155
2017-03-01,pv,15889
2017-02-01,pv,8821
2017-01-01,pv,10091
2016-12-01,pv,6452
2016-11-01,pv,8790
2016-10-01,pv,8990
2016-09-01,pv,9422
2016-08-01,pv,7728
2016-07-01,pv,7443
2016-06-01,pv,8870
2016-05-01,pv,9147
2016-04-01,pv,9464
2016-03-01,pv,8488
2016-02-01,pv,9476
2016-01-01,pv,8879
2015-12-01,pv,6742
2015-11-01,pv,8787
2015-10-01,pv,9006
2015-09-01,pv,7518
2015-08-01,pv,6972
2015-07-01,pv,8846
2015-06-01,pv,9451
2015-05-01,pv,9163
2015-04-01,pv,8472
2015-03-01,pv,8862
2015-02-01,pv,8459
2015-01-01,pv,8674
2014-12-01,pv,6678
2014-11-01,pv,8274
2014-10-01,pv,8448
2014-09-01,pv,7558
2014-08-01,pv,6394
2014-07-01,pv,8701
2014-06-01,pv,8457
2014-05-01,pv,9367
2014-04-01,pv,7578
2014-03-01,pv,8014
2014-02-01,pv,8427
2014-01-01,pv,6707
2013-12-01,pv,5756
2013-11-01,pv,7721
2013-10-01,pv,9967
2013-09-01,pv,12532
2013-08-01,pv,7230
2013-07-01,pv,9238
2013-06-01,pv,11670
2013-05-01,pv,8054
2013-04-01,pv,8460
